question,answer
あした　ごぜん　７じ　＿＿＿　おきて、８じ　＿＿＿　だいがく　＿＿＿　いきます。,に、に、へ
らいしゅう　げつようび　＿＿＿　９じ　＿＿＿　１１じ　＿＿＿　にほんご　を　べんきょうします。,の、から、まで
きょう　ごご　３じ　＿＿＿　ミーティング　＿＿＿　かいぎしつ　＿＿＿　あります。,に、が、で
らいねん　しがつ　＿＿＿　はつか　＿＿＿　にゅうがくしき　です。,の、に
きのう　はちじ　＿＿＿　ねました。,に
しちじに　ともだち　＿＿＿　こうえん　＿＿＿　サッカー　＿＿＿　します。,と、で、を
ダッカ　＿＿＿　シャハバグ　＿＿＿　バス　＿＿＿　いきます。,から、まで、で
あした　どこ　＿＿＿　いきます　＿＿＿。— どこ　＿＿＿　いきません。,へ、か、も
きのう　＿＿＿　きました　＿＿＿。— だれ　＿＿＿　きませんでした。,だれが、か、も
『ありがとう』は　にほんご　＿＿＿　なん　＿＿＿。— 『ありがとう』　＿＿＿。,で、ですか、です
くだもの　＿＿＿　マンゴー　＿＿＿　あまい　です。,で、が
この　ほん　＿＿＿　やまださん　＿＿＿　です　＿＿＿。,は、の、よ
まいにち/６じ/に/おきて/７じ/から/９じ/まで/にほんご/を/べんきょうします。,まいにち６じにおきて７じから９じまでにほんごをべんきょうします。
らいしゅう/かようび/の/ごご/さんじ/に/えき/で/やまださん/と/あいます。,らいしゅうかようびのごごさんじにえきでやまださんとあいます。
バス/で/がっこう/へ/いきます/よ。,バスでがっこうへいきますよ。
きのう/は/ごご/よじ/から/ろくじ/まで/アルバイト/を/しました。,きのうはごごよじからろくじまでアルバイトをしました。
らいねん/しがつ/みっか/に/にほん/へ/いきます。,らいねんしがつみっかににほんへいきます。
レストラン/で/ひるごはん/を/たべました。,レストランでひるごはんをたべました。
ナイフ/で/りんご/を/きります。,ナイフでりんごをきります。
この/ボールペン/は/わたし/の/です/よ。,このボールペンはわたしのですよ。
なにも/たべません/でした。/きのう/よる/は,きのうよるはなにもたべませんでした。
どこも/いきません。/あした/は,あしたはどこもいきません。
しゅうまつ/は/ともだち/と/えいが/を/みます。,しゅうまつはともだちとえいがをみます。
きょう/は/にちようび/です/か。,きょうはにちようびですか。
"ただしいものをえらんでください：
らいしゅう（　）げつようび（　）９じ（　）ミーティングがあります。
 a) の・に・に　 b) に・の・で　 c) の・に・で",c
"つぎのうちただしいのはどれですか。
 a) ８じ１８ふん→はちじじゅうはっぷん　 b) ８じ１８ふん→はちじじゅうはっぷ",a
"しちじ＿＿おきます。
 a) へ　 b) に",b
"『これはノートですか、てちょうですか。』こたえとしてただしいのは？
 a) はい、ノートです。　b) ノートです。",b
"『かいぎはどちらですか。』— ＿＿＿＿＿＿
 a) かいぎしつです。　b) どちらです。",a
"あしたは（　）です。『３がつ１４にち』
 a) さんがつじゅうよっか　 b) さんがつじゅうよんにち",a
"９じ（　）１１じ（　）べんきょうします。
 a) に・を　 b) から・まで",b
"『５ふんまえです』はどれですか。
 a) ごふんまえです　 b) ごぷんまえです",a
"『６：１１』のよみかたは？
 a) ろくじじゅういちふん　 b) ろくじじゅういっぷん",b
"『３：４６』のよみかたは？
 a) さんじよんじゅうろっぷん　 b) さんじよんじゅうろくふん",a
"どれがただしいですか。
 a) あしたどこもいきません。　b) あしたどこもいきます。",a
"『A と B』のいみは？
 a) Aのばしょ　 b) AとB（いっしょに／そして）",b
"A: あした　７じ　＿＿＿　えき　＿＿＿　あいましょう。
B: はい、バス　＿＿＿　いきます　＿＿＿。",に、で、で、よ
"A: きのう　＿＿＿　きました　＿＿＿。
B: だれ　＿＿＿　きませんでした。",だれが、か、も
"A: その　ことば　＿＿＿　にほんご　＿＿＿　なん　＿＿＿。
B: 『ありがとう』　＿＿＿。",は、で、ですか、です
"A: かいぎ　＿＿＿　きょう　ごご　よじ　＿＿＿　です　＿＿＿。
B: はい、よじ　＿＿＿　です。",は、から、ね、から
"A: しゅうまつ　どこ　＿＿＿　いきます　＿＿＿。
B: どこ　＿＿＿　いきません。",へ、か、も
"A: しちじに　ともだち　＿＿＿　しょくじ　＿＿＿　します。
B: いいですね。レストラン　＿＿＿　たべましょう。",と、を、で
"A: くだもの　＿＿＿　どれ　＿＿＿　あまい　ですか。
B: マンゴー　＿＿＿　あまい　です　＿＿＿。",で、が、が、よ
"A: らいげつ　はつか　＿＿＿　パーティー　＿＿＿　ともだち　＿＿＿　します。
B: たのしみ　ですね。",に、を、と
"A: ここ　＿＿＿　かいぎしつ　＿＿＿。
B: はい、こちら　＿＿＿。",は、ですか、です
"A: けさ　６じはん　＿＿＿　おきました。
B: わたし　＿＿＿　７じ　＿＿＿　おきました。",に、は、に
"A: ダッカ　＿＿＿　シャハバグ　＿＿＿　タクシー　＿＿＿　いきます。
B: はやい　です　＿＿＿。",から、まで、で、ね
"A: あの　ひと　＿＿＿　どなた　＿＿＿。
B: わたし　＿＿＿　せんせい　＿＿＿。",は、ですか、の、です
"あした　７じに　おきますか。
 a) はい、７じに　おきます。　b) はい、７じへ　おきます。",a
"らいげつ　はつかに　にほんへ　いきますか。
 a) はい、はつかに　いきます。　b) はい、はつかへ　いきます。",a
"ミーティングは　１０じからですか。
 a) いいえ、９じからです。　b) いいえ、９じからですか。",a
