たべます,"Details: たべます (tabemasu)
Meaning: “to eat”
Use Context: Verb for eating meals/food.
Placement in sentence: Verb; often with object + を.
Examples:
1. ごはんをたべます。(Gohan o tabemasu.) → I eat rice/a meal.
2. パンをたべます。(Pan o tabemasu.) → I eat bread.
3. やさいをたべます。(Yasai o tabemasu.) → I eat vegetables.
Politeness: Polite (ます-form). Casual: たべる."
のみます,"Details: のみます (nomimasu)
Meaning: “to drink”
Use Context: Verb for drinking liquids.
Placement in sentence: Verb; with object + を.
Examples:
1. みずをのみます。(Mizu o nomimasu.) → I drink water.
2. ビールをのみます。(Biiru o nomimasu.) → I drink beer.
3. おちゃをのみます。(Ocha o nomimasu.) → I drink tea.
Politeness: Polite. Casual: のむ."
すいます,"Details: すいます (suimasu)
Meaning: “to smoke / to inhale”
Use Context: Verb for smoking cigarettes or inhaling.
Placement in sentence: Verb; with object + を.
Examples:
1. たばこをすいます。(Tabako o suimasu.) → I smoke cigarettes.
2. くうきをすいます。(Kuuki o suimasu.) → I breathe air.
3. すしをすいますか。(Sushi o suimasu ka.) → Do you eat sushi? (casual mistake usage in learners, but understood).
Politeness: Polite. Casual: すう."
たばこをすいます,"Details: たばこをすいます (tabako o suimasu)
Meaning: “to smoke cigarettes”
Use Context: Polite fixed phrase.
Placement in sentence: Verb phrase; with を.
Examples:
1. わたしはたばこをすいます。(Watashi wa tabako o suimasu.) → I smoke.
2. かれはたばこをすいません。(Kare wa tabako o suimasen.) → He doesn’t smoke.
3. たばこをすいたいです。(Tabako o suitai desu.) → I want to smoke.
Politeness: Polite."
みます,"Details: みます (mimasu)
Meaning: “to see / to watch / to look at”
Use Context: Verb for seeing, watching.
Placement in sentence: Verb; with object + を.
Examples:
1. えいがをみます。(Eiga o mimasu.) → I watch a movie.
2. テレビをみます。(Terebi o mimasu.) → I watch TV.
3. はなをみます。(Hana o mimasu.) → I look at flowers.
Politeness: Polite. Casual: みる."
ききます,"Details: ききます (kikimasu)
Meaning: “to listen / to ask”
Use Context: Verb with two meanings: listen (to music, etc.), ask (questions).
Placement in sentence: Verb; with object + を, or に when asking.
Examples:
1. おんがくをききます。(Ongaku o kikimasu.) → I listen to music.
2. せんせいにききます。(Sensei ni kikimasu.) → I ask the teacher.
3. しんぶんをききます。(Shinbun o kikimasu.) → I listen to the news (radio).
Politeness: Polite. Casual: きく."
よみます,"Details: よみます (yomimasu)
Meaning: “to read”
Use Context: Verb for reading books, newspapers, etc.
Placement in sentence: Verb; with object + を.
Examples:
1. ほんをよみます。(Hon o yomimasu.) → I read a book.
2. しんぶんをよみます。(Shinbun o yomimasu.) → I read a newspaper.
3. レポートをよみます。(Repooto o yomimasu.) → I read a report.
Politeness: Polite. Casual: よむ."
かきます,"Details: かきます (kakimasu)
Meaning: “to write”
Use Context: Verb for writing letters, reports, etc.
Placement in sentence: Verb; with object + を.
Examples:
1. てがみをかきます。(Tegami o kakimasu.) → I write a letter.
2. レポートをかきます。(Repooto o kakimasu.) → I write a report.
3. なまえをかきます。(Namae o kakimasu.) → I write my name.
Politeness: Polite. Casual: かく."
かいます,"Details: かいます (kaimasu)
Meaning: “to buy”
Use Context: Verb for purchasing.
Placement in sentence: Verb; with object + を.
Examples:
1. パンをかいます。(Pan o kaimasu.) → I buy bread.
2. ほんをかいます。(Hon o kaimasu.) → I buy a book.
3. やさいをかいます。(Yasai o kaimasu.) → I buy vegetables.
Politeness: Polite. Casual: かう."
とります,"Details: とります (torimasu)
Meaning: “to take / to take a photo”
Use Context: Verb; taking physical things or pictures.
Placement in sentence: Verb; with object + を.
Examples:
1. しゃしんをとります。(Shashin o torimasu.) → I take a picture.
2. しけんをとります。(Shiken o torimasu.) → I take an exam.
3. かぎをとります。(Kagi o torimasu.) → I take the key.
Politeness: Polite. Casual: とる."
しゃしんをとります,"Details: しゃしんをとります (shashin o torimasu)
Meaning: “to take a photo”
Use Context: Common collocation.
Placement in sentence: Verb phrase; with を.
Examples:
1. しゃしんをとります。(Shashin o torimasu.) → I take a picture.
2. こうえんでしゃしんをとります。(Kouen de shashin o torimasu.) → I take pictures in the park.
3. ともだちのしゃしんをとります。(Tomodachi no shashin o torimasu.) → I take my friend’s photo.
Politeness: Polite."
します,"Details: します (shimasu)
Meaning: “to do”
Use Context: General-purpose verb, attaches to nouns (スポーツをします).
Placement in sentence: Verb; with object + を.
Examples:
1. テニスをします。(Tenisu o shimasu.) → I play tennis.
2. サッカーをします。(Sakkaa o shimasu.) → I play soccer.
3. しゅくだいをします。(Shukudai o shimasu.) → I do homework.
Politeness: Polite. Casual: する."
あいます,"Details: あいます (aimasu)
Meaning: “to meet”
Use Context: Verb for meeting someone.
Placement in sentence: Verb; with に (person).
Examples:
1. ともだちにあいます。(Tomodachi ni aimasu.) → I meet a friend.
2. せんせいにあいます。(Sensei ni aimasu.) → I meet the teacher.
3. かぞくにあいます。(Kazoku ni aimasu.) → I meet my family.
Politeness: Polite. Casual: あう."
ともだちをあいます,"Details: ともだちをあいます (tomodachi o aimasu)
Meaning: (incorrect learner form) “meet a friend”
Use Context: Some beginners mistakenly use を instead of に.
Placement in sentence: Should be ともだちにあいます. 
Examples:
1. (Correct) ともだちにあいます。(Tomodachi ni aimasu.) → I meet a friend.
2. ✕ ともだちをあいます is ungrammatical.
Politeness: N/A. Correct usage is with に."
ごはん,"Details: ごはん (gohan)
Meaning: “rice / meal”
Use Context: Can mean cooked rice or a meal in general.
Placement in sentence: Noun; with は, を.
Examples:
1. ごはんをたべます。(Gohan o tabemasu.) → I eat rice.
2. ごはんはおいしいです。(Gohan wa oishii desu.) → The rice is delicious.
3. ごはんをください。(Gohan o kudasai.) → Please give me rice.
Politeness: Neutral."
あさごはん,"Details: あさごはん (asagohan)
Meaning: “breakfast”
Use Context: Morning meal.
Placement in sentence: Noun; with は, を.
Examples:
1. あさごはんをたべます。(Asagohan o tabemasu.) → I eat breakfast.
2. あさごはんはなにをたべますか。(Asagohan wa nani o tabemasu ka.) → What do you eat for breakfast?
3. あさごはんをぬきます。(Asagohan o nukimasu.) → I skip breakfast.
Politeness: Neutral."
ひるごはん,"Details: ひるごはん (hirugohan)
Meaning: “lunch”
Use Context: Midday meal.
Placement in sentence: Noun; with は, を.
Examples:
1. ひるごはんをたべます。(Hirugohan o tabemasu.) → I eat lunch.
2. ひるごはんはなんじですか。(Hirugohan wa nan-ji desu ka.) → When is lunch?
3. ともだちとひるごはんをたべます。(Tomodachi to hirugohan o tabemasu.) → I eat lunch with a friend.
Politeness: Neutral."
ばんごはん,"Details: ばんごはん (bangohan)
Meaning: “dinner”
Use Context: Evening meal.
Placement in sentence: Noun; with は, を.
Examples:
1. ばんごはんをたべます。(Bangohan o tabemasu.) → I eat dinner.
2. ばんごはんはなにをたべますか。(Bangohan wa nani o tabemasu ka.) → What do you eat for dinner?
3. ばんごはんはおいしかったです。(Bangohan wa oishikatta desu.) → Dinner was delicious.
Politeness: Neutral."
